id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,tags,replies,mentions,urls,photos,replies_count,retweets_count,likes_count,location,hashtags,link,retweet,gif_url,gif_thumb,video_url,video_thumb,is_quote_status,quote_id,quote_url,is_reply_to,has_parent_tweet
1076422258657189888,1076422258657189888,1545474040000,2018-12-22,17:20:40,WIB,531209323,diyardps,diyarps!,,"@BPJSKesehatanRI sore min , saya mau nanya kalo mau bikin bpjs mandiri buat calon anak saya bisa kan ? Tanpa harus nunggu lahiran ? Terima kasih",[],"[{'id': 531209323, 'id_str': '531209323', 'screen_name': 'diyardps'}, {'id': 1522337929, 'id_str': '1522337929', 'screen_name': 'BPJSKesehatanRI'}]",['bpjskesehatanri'],[],[],0,0,0,,[],https://twitter.com/diyardps/status/1076422258657189888,,,,,,0,0,,0,0
1076418663526223873,1076074622569742337,1545473182000,2018-12-22,17:06:22,WIB,1956687031,hanz_hyuga_,hanz hyuga,,"Aku punya kis tapi belum pernah bayar,,",[],"[{'id': 1956687031, 'id_str': '1956687031', 'screen_name': 'hanz_hyuga_'}, {'id': 1522337929, 'id_str': '1522337929', 'screen_name': 'BPJSKesehatanRI'}]",[],[],[],0,0,0,,[],https://twitter.com/hanz_hyuga_/status/1076418663526223873,,,,,,0,0,,1,1
1076417914868195329,1076309313147232257,1545473004000,2018-12-22,17:03:24,WIB,710981289885585408,susenodwi1,Suseno dwi,,"Maaf ikut nimbrung,kalau misal dr kelas 1/2/3 turun ke KIS bisa gak.karna sdh gak mampu iuran bulanan.karna sesuatu hal.",[],"[{'id': 710981289885585408, 'id_str': '710981289885585408', 'screen_name': 'Susenodwi1'}, {'id': 297699928, 'id_str': '297699928', 'screen_name': 'zein2019'}, {'id': 1522337929, 'id_str': '1522337929', 'screen_name': 'BPJSKesehatanRI'}]",[],[],[],0,0,0,,[],https://twitter.com/Susenodwi1/status/1076417914868195329,,,,,,0,0,,1,1
1076410493936386048,1076356340862210048,1545471235000,2018-12-22,16:33:55,WIB,1522337929,bpjskesehatanri,BPJS Kesehatan RI,,Ibu Adzinimaula94.  Untuk nomor JKN-KIS atas nama ADZINI MAULA BADRIA terdaftar aktif dari Peserta Mandiri. -at,[],"[{'id': 1522337929, 'id_str': '1522337929', 'screen_name': 'BPJSKesehatanRI'}, {'id': 107068330, 'id_str': '107068330', 'screen_name': 'Adzinimaula94'}]",[],[],[],0,0,0,,[],https://twitter.com/BPJSKesehatanRI/status/1076410493936386048,,,,,,0,0,,1,1
1076407512117665794,1076407512117665794,1545470524000,2018-12-22,16:22:04,WIB,1339363627,harrycandraa,Harry Chandra,,di suruh ikut programnya biar mudah dan murah. tapi pelayananya kayak tai. dan selalu ndak tersedia.  terima kasih @BPJSKesehatanRI,[],"[{'id': 1339363627, 'id_str': '1339363627', 'screen_name': 'harrycandraa'}, {'id': 1522337929, 'id_str': '1522337929', 'screen_name': 'BPJSKesehatanRI'}]",['bpjskesehatanri'],[],[],0,0,0,,[],https://twitter.com/harrycandraa/status/1076407512117665794,,,,,,0,0,,0,0
1076406063321104384,1076380126323961861,1545470178000,2018-12-22,16:16:18,WIB,1522337929,bpjskesehatanri,BPJS Kesehatan RI,,", Salam Sehat Ibu Mita, terkait medical check up tidak dijamin oleh BPJS Kesehatan. Terima Kasih. -aa",[],"[{'id': 1522337929, 'id_str': '1522337929', 'screen_name': 'BPJSKesehatanRI'}, {'id': 292335440, 'id_str': '292335440', 'screen_name': 'mitanyit'}]",[],[],[],0,0,0,,[],https://twitter.com/BPJSKesehatanRI/status/1076406063321104384,,,,,,0,0,,1,1
1076404778442227712,1076404778442227712,1545469872000,2018-12-22,16:11:12,WIB,971335613197598721,pranagitav,V,,"@BPJSKesehatanRI min, apabila kartu bpjs hilang. Untuk penerbitan ulang kartu, syarat yang diperlukan apa aja min?",[],"[{'id': 971335613197598721, 'id_str': '971335613197598721', 'screen_name': 'pranagitaV'}, {'id': 1522337929, 'id_str': '1522337929', 'screen_name': 'BPJSKesehatanRI'}]",['bpjskesehatanri'],[],[],0,0,0,,[],https://twitter.com/pranagitaV/status/1076404778442227712,,,,,,0,0,,0,0
1076400867601920002,1076350863071862784,1545468940000,2018-12-22,15:55:40,WIB,1522337929,bpjskesehatanri,BPJS Kesehatan RI,,"Ibu WulanMarkyWL. Terima kasih kembali, semoga sehat selalu. -at",[],"[{'id': 1522337929, 'id_str': '1522337929', 'screen_name': 'BPJSKesehatanRI'}, {'id': 86473696, 'id_str': '86473696', 'screen_name': 'WulanMarkyWL'}]",[],[],[],0,0,0,,[],https://twitter.com/BPJSKesehatanRI/status/1076400867601920002,,,,,,0,0,,1,1
1076397659332571136,1076347035790368770,1545468175000,2018-12-22,15:42:55,WIB,1044166034633232385,maulahayya,Hayya☪️,,Normal min,[],"[{'id': 1044166034633232385, 'id_str': '1044166034633232385', 'screen_name': 'maulahayya'}, {'id': 1522337929, 'id_str': '1522337929', 'screen_name': 'BPJSKesehatanRI'}]",[],[],[],0,0,0,,[],https://twitter.com/maulahayya/status/1076397659332571136,,,,,,0,0,,1,1
1076397650423865344,1076397650423865344,1545468173000,2018-12-22,15:42:53,WIB,1044076001334980608,farbabal,Fafid Arbabal,,@PartaiSocmed @BPJSKesehatanRI asem gaje bgt lah tum ini BPJS,[],"[{'id': 1044076001334980608, 'id_str': '1044076001334980608', 'screen_name': 'FArbabal'}, {'id': 869327120, 'id_str': '869327120', 'screen_name': 'PartaiSocmed'}, {'id': 1522337929, 'id_str': '1522337929', 'screen_name': 'BPJSKesehatanRI'}]","['partaisocmed', 'bpjskesehatanri']",[],[],0,0,0,,[],https://twitter.com/FArbabal/status/1076397650423865344,,,,,,0,0,,0,0
